Phone_Number,State,Account_Length,Area_Code,International_Plan,Voice_Mail_Plan,Number_Vmail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,Customer_Service_Calls,Churn
382-4657,KS,128,C415,No,Yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,No
371-7191,OH,107,C415,No,Yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,No
358-1921,NJ,137,C415,No,No,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,No
375-9999,OH,84,C408,Yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,No
330-6626,OK,75,C415,Yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,No
391-8027,AL,118,C510,Yes,No,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,No
355-9993,MA,121,C510,No,Yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,No
329-9001,MO,147,C415,Yes,No,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,No
335-4719,LA,117,C408,No,No,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,No
330-8173,WV,141,C415,Yes,Yes,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,No
329-6603,IN,65,C415,No,No,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,Yes
344-9403,RI,74,C415,No,No,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,No
363-1107,IA,168,C408,No,No,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,No
394-8006,MT,95,C510,No,No,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,No
366-9238,IA,62,C415,No,No,0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,No
351-7269,NY,161,C415,No,No,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,Yes
350-8884,ID,85,C408,No,Yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,No
386-2923,VT,93,C510,No,No,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,No
356-2992,VA,76,C510,No,Yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,No
373-2782,TX,73,C415,No,No,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,No
396-5800,FL,147,C415,No,No,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,No
393-7984,CO,77,C408,No,No,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,Yes
358-1958,AZ,130,C415,No,No,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,No
350-2565,SC,111,C415,No,No,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,No
343-4696,VA,132,C510,No,No,0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,No
331-3698,NE,174,C415,No,No,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,No
357-3817,WY,57,C408,No,Yes,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,No
418-6412,MT,54,C408,No,No,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,No
353-2630,MO,20,C415,No,No,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,No
410-7789,HI,49,C510,No,No,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,No
416-8428,IL,142,C415,No,No,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,No
370-3359,NH,75,C510,No,No,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,No
383-1121,LA,172,C408,No,No,0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,No
360-1596,AZ,12,C408,No,No,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,Yes
395-2854,OK,57,C408,No,Yes,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,No
362-1407,GA,72,C415,No,Yes,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,No
341-9764,AK,36,C408,No,Yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,No
353-3305,MA,78,C415,No,No,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,No
402-1381,AK,136,C415,Yes,Yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,No
332-9891,NJ,149,C408,No,No,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,No
372-9976,GA,98,C408,No,No,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,No
383-6029,MD,135,C408,Yes,Yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,Yes
353-7289,AR,34,C510,No,No,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,No
390-7274,ID,160,C415,No,No,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,No
352-1237,WI,64,C510,No,No,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,No
353-3061,OR,59,C408,No,Yes,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,No
363-5450,MI,65,C415,No,No,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,No
364-1995,DE,142,C408,No,No,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,No
398-1294,ID,119,C415,No,No,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,Yes
405-7146,WY,97,C415,No,Yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,No
413-4957,IA,52,C408,No,No,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,No
420-5645,IN,60,C408,No,No,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,No
349-4396,VA,10,C408,No,No,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,No
404-3211,UT,96,C415,No,No,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,No
353-3759,WY,87,C415,No,No,0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,Yes
363-5947,IN,81,C408,No,No,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,No
